home_links	home_links-href	cante_name
Amós Rodríguez Rey	http://canteytoque.es/letrasritoamos.html	Seguiriya
Si yo volviera a nacer	http://canteytoque.es/letraschocolatesiyo.html	Pregonao (seguirillas)
En Lebrija. El Funi y el Juanata con Pedro Peña	http://canteytoque.es/letrasvvenlebrija.html	Donde paran los toreros. El Juanata
Cátedra del cante vol. 41	http://canteytoque.es/letrasislanino.html	Como el camino era tan largo (farruca) Niño de La Isla
Por derecho	http://canteytoque.es/letrasclavel.html	Repasaba yo mi vida (soleá por bulerías)
Maestros del cante	http://canteytoque.es/letrasvarea.html	Marelaron a un busnó (toná y martinete)
"Málaga y Levante (Fosforito, A. Canillas, F. Montoro y A. Piñana)"	http://canteytoque.es/letrasritomalagaylevante.html	Minera (Antonio Piñana)
Grandes guitarras del flamenco. Ramón de Algeciras	http://canteytoque.es/letrasvvramondealgeciras.html	Por un hijo que tenía (levantica) Gabriel Moreno
VI concurso nacional de arte flamenco 1971 Córdoba (CD1)	http://canteytoque.es/letrasvvviconcurso1.html	Bulerías. Paquera de Jerez
Una historia del cante flamenco 1	http://canteytoque.es/letrascaracolhistoria1.html	Que del nío la cogí (fandangos)
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	"Ven acá, remediadora (petenera)"
El Pele	http://canteytoque.es/letraspuroyjondopele.html	Malagueñas
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Soleá. Pepe el Culata
Beni de Cádiz	http://canteytoque.es/letrasbeni.html	Rondeña
El Zambo	http://canteytoque.es/letraspuroyjondozambo.html	Seguiriyas
Cante flamenco (volumen 2)	http://canteytoque.es/letrasfernandaybernardacanteflamenco2.html	Bulerías. Fernanda y Bernarda
CD 1	http://canteytoque.es/letraspastora01.html	8. Con Jesús y le digo (tientos)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Seguiriyas. Beni de Cádiz
CD 7	http://canteytoque.es/letraspastora07.html	19. Esta noche voy a ver (garrotín)
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Fandango de Huelva
Antología del cante flamenco y cante gitano. CD 2	http://canteytoque.es/letrasvvantologiamairena2.html	Siguiriya del Planeta. Pepe Torre
Tres generaciones. Agujetas CD 2 (Manuel y su hijo)	http://canteytoque.es/letrasvvtresgeneraciones2.html	A mi madre vi llorar (tientos) Antonio Agujetas
Cantes inéditos(CD 1)	http://canteytoque.es/letrasfernandaybernardacantesineditos1.html	Bulerías
Naturaleza flamenca (Quejío) 2	http://canteytoque.es/letrasmatronaquejio2.html	Al pie de un pocito seco (petenera de Medina el Viejo)
Cuando canta el pasado	http://canteytoque.es/letrasvicentesotocuandocantaelpasado.html	Entre dos mundos (colombiana)
Juan Villar	http://canteytoque.es/letraspuroyjondovillar.html	Bulerías
"Grandes guitarras del flamenco. Manuel Morao (con Sernita, Chaleco, Paquera y Terremoto)"	http://canteytoque.es/letrasvvmorao.html	Me da miedo de quererte (soleares) Sernita de Jerez
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	Angustia de los gitanos (saeta)
CD 5	http://canteytoque.es/letraspastora05.html	10.  Yo no creía en mi madre (petenera)
CD 4	http://canteytoque.es/letrasantologiaorfeon4.html	Alegrías de Cádiz. David Moreno y Ramón de Cádiz
"¡Flamenco! ""Marqués de Porrina"""	http://canteytoque.es/letrasporrina.html	Debajo del puente (tangos)
Cultura Jonda 10. XV Potaje gitano de Utrera en directo (1971)	http://canteytoque.es/letrasvvxvpotajeutrera.html	Seguiriyas. Paco Clavero
Homenaje a Pepe de la Matrona. CD 2	http://canteytoque.es/letrasmatronahomenaje2.html	Dicen que duerme (seguiriya)
disco 1	http://canteytoque.es/letrasvvantologiaariola1.html	Siempre por los rincones (siguiriyas) Terremoto
Pessoa flamenco	http://canteytoque.es/letrasvicentesotopessoa.html	martinete y debla
CD 12	http://canteytoque.es/letraspastora12.html	11. Ya no son las mismas flores (petenera)
Cultura Jonda 5	http://canteytoque.es/letrasromerocultura.html	Cuatro cirios encendidos (saeta)
"Las tonás (Talega, Mairena, Agujetas y Borrico, R. Romero y Menese)"	http://canteytoque.es/letrasritotonas.html	Tonás y martinetes (José Menese)
Fernando de la Morena	http://canteytoque.es/letraspuroyjondofernandomorena.html	Bulerías
Raíces del cante	http://canteytoque.es/letrasavila.html	Taranto de Joaquín el Cojo (taranto)
Antología del cante flamenco y cante gitano. CD 1	http://canteytoque.es/letrasvvantologiamairena1.html	"Serrana con liviana, el macho y seguiriya de María Borrico. Antonio Mairena"
Aurora Vargas	http://canteytoque.es/letraspuroyjondoauroravargas.html	Fandangos
disco 2	http://canteytoque.es/letrasvvantologiaariola2.html	Yo he comprao tres puñales (polo y soleá apolá) el Lebrijano
"La familia Pinini (Fernanda Peña, Funi, María Peña, Bernarda y Fernanda)"	http://canteytoque.es/letrasritofamiliapinini.html	Soleá (Miguel Funi)
"Mujeres de la Bética (Perla, Sallago, Adela Chaqueta)"	http://canteytoque.es/letrasvvperlasallagoadela.html	Paterna de la Ribera (petenera) la Sallago
Un maestro del cante	http://canteytoque.es/letrasescacena.html	"Mulata, nunca pensé (guajiras cubanas)"
Por bulerías	http://canteytoque.es/letrasvvporbulerias.html	No vendo mi jaca (bulerías) Paco Valdepeñas
Tres generaciones. Agujetas CD 2 (Manuel y su hijo)	http://canteytoque.es/letrasvvtresgeneraciones2.html	En el palacio del rey (bulerías) Antonio Agujetas
Cañeta de Málaga	http://canteytoque.es/letraspuroyjondocaneta.html	Fandangos por soleá
"Antología de cantaores flamencos. Vol. 25 (Agujetas Viejo, Garbanzo y Salmonete)"	http://canteytoque.es/letrasvvagujetaviejogarbanzosalmonete.html	"Quien mal anda, mal acaba (bulerías) Agujetas el viejo"
"Grandes guitarras del flamenco. Melchor de Marchena (Antonio Mairena, Pericón, Pepe y Enrique el Culata)"	http://canteytoque.es/letrasvvmelchor.html	Al que no sepa distinguir (soleares del Mellizo) Pericón de Cádiz
"Fandangos naturales (Gordito, Funi, Morente, Mono, Platero y Camarón)"	http://canteytoque.es/letrasritofandangosnaturales.html	El Mono
Cátedra del cante vol. 13	http://canteytoque.es/letrasmedina.html	Cuando tiene un vestido (bulerías) Niño de Medina
Agujeta	http://canteytoque.es/letrasritoagujeta.html	Fandangos
Primer disco	http://canteytoque.es/letrasrancapino1.html	Alegrías de Cádiz
"Triana (Niño Bronce, Rosalía, Oliver, P. Matrona y Titi)"	http://canteytoque.es/letrasritotriana.html	"Tangos de Triana (Manuel ""el Titi"")"
Cultura Jonda 20	http://canteytoque.es/letrasjosleroculturajonda.html	Me juegan consejo de guerra (soleares de la sierra de Grazalema)
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Seguiriyas. Diego Camacho
El genio (Quejío) 2	http://canteytoque.es/letrascaracolquejio2.html	La luz del alba (fandangos)
Maestros del cante vol. 2	http://canteytoque.es/letrasborrico.html	No puedo comprenderte (alegrías)
VI concurso nacional de arte flamenco 1971 Córdoba (CD3)	http://canteytoque.es/letrasvvviconcurso3.html	Caracoles. Naranjito de Triana
"De Sanlúcar a La Línea (Medrano, Castaña, Farina, Mollino, Yiyi y Paca)"	http://canteytoque.es/letrasritosanlucaralalinea.html	Bulerías (el Yiyi)
"El barrio de Santiago (Guapo, Agujetas, M. Agujetas, Periñaca, Borrico y Chicharrona)"	http://canteytoque.es/letrasritosantiago.html	"Bulerías (tía Anica ""la Periñaca"")"
Maestros del cante	http://canteytoque.es/letrasbernardolobitos.html	Alguna vez (malagueñas de la Trini)
Oliver de Triana	http://canteytoque.es/letrasritooliver.html	Serranas
Archivo de flamenco. Camarón de La Isla con el Turronero	http://canteytoque.es/letrasvvcamaronturronero.html	El día que me eches de menos (soleares del Puerto) el Camarón
Los cantes inéditos de Juan Talega	http://canteytoque.es/letrastalegacantesineditos.html	Martinete
VI concurso nacional de arte flamenco 1971 Córdoba (CD2)	http://canteytoque.es/letrasvvviconcurso2.html	Tonás. Francisco Andrés Andrés
La casa de los Mairena	http://canteytoque.es/letrasritocasamairena.html	Soleares (Manuel Mairena)
CD 2	http://canteytoque.es/letrasantologiaorfeon2.html	Tarantas. Antonio Valdepeñas
En familia. Familia Montoya	http://canteytoque.es/letrasvvfamiliamontoya.html	Morena de alegría
Actuaciones históricas CD 1	http://canteytoque.es/letrasfosforitoact1.html	Sale el sol y da en el cristal (soleá apolá y polo)
Le chant du monde v. 18	http://canteytoque.es/letrasromerochant.html	Toná
Un maestro del cante	http://canteytoque.es/letrasescacena.html	Una muchacha de Lorca (tarantas)
Le chant du monde v. 2	http://canteytoque.es/letrasalmaden.html	Aires de Huelva
